iter	Passed	Remaining
0	0	70
1	0	63
2	1	58
3	1	55
4	1	55
5	2	55
6	2	53
7	2	52
8	3	51
9	3	53
10	4	52
11	4	52
12	4	51
13	5	50
14	5	49
15	5	48
16	6	48
17	6	47
18	6	47
19	7	46
20	7	45
21	7	45
22	8	44
23	8	44
24	8	43
25	9	43
26	9	43
27	10	43
28	10	43
29	10	42
30	11	42
31	11	41
32	11	41
33	12	41
34	12	40
35	12	40
36	13	40
37	13	39
38	13	39
39	14	39
40	14	38
41	14	38
42	15	37
43	15	37
44	15	37
45	16	36
46	16	36
47	16	35
48	17	35
49	17	35
50	17	34
51	18	34
52	18	33
53	18	33
54	19	33
55	19	32
56	19	32
57	20	32
58	20	31
59	20	31
60	21	30
61	21	30
62	21	30
63	22	29
64	22	29
65	23	29
66	23	29
67	23	28
68	24	28
69	24	28
70	24	27
71	25	27
72	25	26
73	25	26
74	26	26
75	26	25
76	26	25
77	27	25
78	27	24
79	27	24
80	28	24
81	28	23
82	28	23
83	29	23
84	29	22
85	29	22
86	30	21
87	30	21
88	30	21
89	31	20
90	31	20
91	31	20
92	32	19
93	32	19
94	33	19
95	33	18
96	33	18
97	34	18
98	34	17
99	34	17
100	34	16
101	35	16
102	35	16
103	35	15
104	36	15
105	36	15
106	37	14
107	37	14
108	37	14
109	38	13
110	38	13
111	38	13
112	39	12
113	39	12
114	39	12
115	40	11
116	40	11
117	40	11
118	41	10
119	41	10
120	42	10
121	42	9
122	42	9
123	43	9
124	43	8
125	43	8
126	44	7
127	44	7
128	44	7
129	45	6
130	45	6
131	45	6
132	45	5
133	46	5
134	46	5
135	47	4
136	47	4
137	47	4
138	47	3
139	48	3
140	48	3
141	49	2
142	49	2
143	49	2
144	50	1
145	51	1
146	51	1
147	51	0
148	52	0
149	52	0
